primary_title,production_budget,domestic_gross,worldwide_gross,net_revenue
Avatar,425000000.0,760507625.0,2776345279.0,2351345279.0
Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,635063875.0
Dark Phoenix,350000000.0,42762350.0,149762350.0,-200237650.0
Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,1072413963.0
Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,999721747.0
Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,1747311220.0
Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,1748134200.0
Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,663420425.0
Justice League,300000000.0,229024295.0,655945209.0,355945209.0
Spectre,300000000.0,200074175.0,879620923.0,579620923.0
The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,809439099.0
Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,118151347.0
The Lone Ranger,275000000.0,89302115.0,260002115.0,-14997885.0
John Carter,275000000.0,73058679.0,282778100.0,7778100.0
Tangled,260000000.0,200821936.0,586477240.0,326477240.0
Spider-Man 3,258000000.0,336530303.0,894860230.0,636860230.0
Captain America: Civil War,250000000.0,408084349.0,1140069413.0,890069413.0
Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,617500281.0
The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,767003568.0
Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,685213767.0
The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,710366855.0
The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,695577621.0
The Fate of the Furious,250000000.0,225764765.0,1234846267.0,984846267.0
Superman Returns,232000000.0,200120000.0,374085065.0,142085065.0
Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,558241137.0
Quantum of Solace,230000000.0,169368427.0,591692078.0,361692078.0
The Avengers,225000000.0,623279547.0,1517935897.0,1292935897.0
Pirates of the Caribbean: Dead Manâs Chest,225000000.0,423315812.0,1066215812.0,841215812.0
Man of Steel,225000000.0,291045518.0,667999518.0,442999518.0
The Chronicles of Narnia: Prince Caspian,225000000.0,141621490.0,417341288.0,192341288.0
The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,537890267.0
Battleship,220000000.0,65233400.0,313477717.0,93477717.0
Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,385893340.0
Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864.0
Men in Black 3,215000000.0,179020854.0,654213485.0,439213485.0
Transformers: Revenge of the Fallen,210000000.0,402111870.0,836519699.0,626519699.0
Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,894039076.0
X-Men: The Last Stand,210000000.0,234362462.0,459260946.0,249260946.0
Robin Hood,210000000.0,105487148.0,322459006.0,112459006.0
King Kong,207000000.0,218080025.0,550517357.0,343517357.0
The Golden Compass,205000000.0,70107728.0,367262558.0,162262558.0
Black Panther,200000000.0,700059566.0,1348258224.0,1148258224.0
Titanic,200000000.0,659363944.0,2208208395.0,2008208395.0
Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711.0
Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,849102856.0
Finding Dory,200000000.0,486295561.0,1021215193.0,821215193.0
Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522.0
Iron Man 3,200000000.0,408992272.0,1215392272.0,1015392272.0
Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,662316233.0
Spider-Man 2,200000000.0,373524485.0,795110670.0,595110670.0
Alice in Wonderland,200000000.0,334191110.0,1025491110.0,825491110.0
Skyfall,200000000.0,304360277.0,1110526981.0,910526981.0
Monsters University,200000000.0,268488329.0,743588329.0,543588329.0
Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,290359051.0
X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,547862775.0
The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,508996336.0
Cars 2,200000000.0,191450875.0,560155383.0,360155383.0
Tron: Legacy,200000000.0,172062763.0,400062763.0,200062763.0
2012,200000000.0,166112167.0,757677748.0,557677748.0
Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,452220086.0
Terminator Salvation,200000000.0,125322469.0,365491792.0,165491792.0
Green Lantern,200000000.0,116601172.0,219535492.0,19535492.0
Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,136359676.0
Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,928790543.0
